expo,table,project,sponsors,link,category,special
1,81,Financial Data API,"Best Developer Tool from Github, Best Solo Hack, Best Use of MongoDB , Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52854-financial-data-api,,
1,82,un perdedor soylent,"Best Use of Edison from Intel Corp, Best Use of AWS, Best Hardware Hack, Best Use of MongoDB , Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52856-un-perdedor-soylent,,
1,83,Duplicate Image Finder,"Best Solo Hack, Best First Hackathon Project",http://hackru-s16.devpost.com/submissions/52860-duplicate-image-finder,,
1,84,Crubber,"Best Use of AWS, Best First Hackathon Project, New Brunswick Mayor's Prizes, Best Rutgers Hack, Best Domain Name from Domain.com",http://hackru-s16.devpost.com/submissions/52862-crubber,,
1,85,dreamphone,"Best Use of Twilio API, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52864-dreamphone,,
1,86,CLI-Hack,"Best Command Line Hack, Best Developer Tool from Github, Best Use of Twilio API, Best First Hackathon Project",http://hackru-s16.devpost.com/submissions/52867-cli-hack,,
1,87,Tax Information Assistance for Undocumented Immigrants,"Best Solo Hack, New Brunswick Mayor's Prizes, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52868-tax-information-assistance-for-undocumented-immigrants,,
1,88,Rutgers Website,"Best First Hackathon Project, Best Rutgers Hack",http://hackru-s16.devpost.com/submissions/52869-rutgers-website,,
1,89,Paz2,"Best First Hackathon Project, Funniest Hack",http://hackru-s16.devpost.com/submissions/52870-paz2,,
1,90,businessCard,Best Rutgers Hack,http://hackru-s16.devpost.com/submissions/52872-businesscard,,
1,91,Scarlet Bowling,"Best Hardware Hack, Funniest Hack",http://hackru-s16.devpost.com/submissions/52874-scarlet-bowling,,
1,92,The adventures of Derpy Ghost and Whiz,,http://hackru-s16.devpost.com/submissions/52875-the-adventures-of-derpy-ghost-and-whiz,,
1,93,The Mom Friend,"Best First Hackathon Project, Verizon Sponsorship Prize, Best Rutgers Hack, Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52876-the-mom-friend,,
1,94,Learn2Web,"Best Use of MongoDB , Best Educational Hack from DonorsChoose.org",http://hackru-s16.devpost.com/submissions/52877-learn2web,,
1,95,Busy Biggies,"Best Health Hack from Merck, Best Use of Capital One API, Funniest Hack",http://hackru-s16.devpost.com/submissions/52878-busy-biggies,,
1,96,Ocean Wave Compression,,http://hackru-s16.devpost.com/submissions/52879-ocean-wave-compression,,
1,97,SocialGoals (SOGO),"IoT Princeton Presentation from New Brunswick Office of Innovation, New Brunswick Mayor's Prizes, Best Rutgers Hack, Funniest Hack",http://hackru-s16.devpost.com/submissions/52883-socialgoals-sogo,,
1,98,Plover,Best Rutgers Hack,http://hackru-s16.devpost.com/submissions/52884-plover,,
1,99,<3 Survey,"Best Domain Name from Domain.com, Funniest Hack",http://hackru-s16.devpost.com/submissions/52886-3-survey,,
1,100,Trump Sprite Game,Funniest Hack,http://hackru-s16.devpost.com/submissions/52888-trump-sprite-game,,
1,101,Buddy,"Best Rutgers Hack, Best Hardware Hack, Best Use of the Watson Cognitive APIs from IBM",http://hackru-s16.devpost.com/submissions/52889-buddy,,
